,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr
51,26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,
52,27,2011-01-02,1,0,1,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,2.0
53,27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,
54,28,2011-01-02,1,0,1,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,3.0
55,28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,
56,29,2011-01-02,1,0,1,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,4.0
57,29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,
58,30,2011-01-02,1,0,1,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,6.0
59,30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,
60,31,2011-01-02,1,0,1,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,7.0
61,31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,
62,32,2011-01-02,1,0,1,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,8.0
63,32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,
64,33,2011-01-02,1,0,1,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,9.0
65,33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,
66,34,2011-01-02,1,0,1,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,10.0
67,34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,
68,35,2011-01-02,1,0,1,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,11.0
69,35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,
70,36,2011-01-02,1,0,1,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,12.0
71,36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,
72,37,2011-01-02,1,0,1,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,13.0
73,37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,
74,38,2011-01-02,1,0,1,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,14.0
75,38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,
76,39,2011-01-02,1,0,1,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,15.0
77,39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,
78,40,2011-01-02,1,0,1,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,16.0
79,40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,
80,41,2011-01-02,1,0,1,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,17.0
81,41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,
82,42,2011-01-02,1,0,1,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,18.0
83,42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,
84,43,2011-01-02,1,0,1,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,19.0
85,43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,
86,44,2011-01-02,1,0,1,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,20.0
87,44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,
88,45,2011-01-02,1,0,1,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,21.0
89,45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,
90,46,2011-01-02,1,0,1,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,22.0
91,46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,
92,47,2011-01-02,1,0,1,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,23.0
93,47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,
94,48,2011-01-03,1,0,1,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,0.0
95,48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,
96,49,2011-01-03,1,0,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,1.0
97,49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,
98,50,2011-01-03,1,0,1,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,4.0
99,50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,
100,51,2011-01-03,1,0,1,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,5.0
101,51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,
102,52,2011-01-03,1,0,1,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,6.0
103,52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,
104,53,2011-01-03,1,0,1,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,7.0
105,53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,
106,54,2011-01-03,1,0,1,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,8.0
107,54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,
108,55,2011-01-03,1,0,1,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,9.0
109,55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,
110,56,2011-01-03,1,0,1,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,10.0
111,56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,
112,57,2011-01-03,1,0,1,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,11.0
113,57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,
114,58,2011-01-03,1,0,1,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,12.0
115,58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,
116,59,2011-01-03,1,0,1,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,13.0
117,59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,
118,60,2011-01-03,1,0,1,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,14.0
119,60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,
120,61,2011-01-03,1,0,1,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,15.0
121,61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,
122,62,2011-01-03,1,0,1,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,16.0
123,62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,
124,63,2011-01-03,1,0,1,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,17.0
125,63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,
126,64,2011-01-03,1,0,1,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,18.0
127,64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,
128,65,2011-01-03,1,0,1,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,19.0
129,65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,
130,66,2011-01-03,1,0,1,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,20.0
131,66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,
132,67,2011-01-03,1,0,1,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,21.0
133,67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,
134,68,2011-01-03,1,0,1,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,22.0
135,68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,
136,69,2011-01-03,1,0,1,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,23.0
137,69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,
138,70,2011-01-04,1,0,1,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,0.0
139,70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,
140,71,2011-01-04,1,0,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,1.0
141,71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,
142,72,2011-01-04,1,0,1,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,2.0
143,72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,
144,73,2011-01-04,1,0,1,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,4.0
145,73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,
146,74,2011-01-04,1,0,1,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,5.0
147,74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,
148,75,2011-01-04,1,0,1,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,6.0
149,75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,
150,76,2011-01-04,1,0,1,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,7.0
151,76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,
152,77,2011-01-04,1,0,1,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,8.0
153,77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,
154,78,2011-01-04,1,0,1,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,9.0
155,78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,
156,79,2011-01-04,1,0,1,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,10.0
157,79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,
158,80,2011-01-04,1,0,1,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,11.0
159,80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,
160,81,2011-01-04,1,0,1,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,12.0
161,81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,
162,82,2011-01-04,1,0,1,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,13.0
163,82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,
164,83,2011-01-04,1,0,1,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,14.0
165,83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,
166,84,2011-01-04,1,0,1,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,15.0
167,84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,
168,85,2011-01-04,1,0,1,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,16.0
169,85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,
170,86,2011-01-04,1,0,1,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,17.0
171,86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,
172,87,2011-01-04,1,0,1,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,18.0
173,87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,
174,88,2011-01-04,1,0,1,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,19.0
175,88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,
176,89,2011-01-04,1,0,1,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,20.0
177,89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,
178,90,2011-01-04,1,0,1,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,21.0
179,90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,
180,91,2011-01-04,1,0,1,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,22.0
181,91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,
182,92,2011-01-04,1,0,1,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,23.0
183,92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,
184,93,2011-01-05,1,0,1,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,0.0
185,93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,
186,94,2011-01-05,1,0,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,1.0
187,94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,
188,95,2011-01-05,1,0,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2.0
189,95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,
190,96,2011-01-05,1,0,1,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,4.0
191,96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,
192,97,2011-01-05,1,0,1,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,5.0
193,97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,
194,98,2011-01-05,1,0,1,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,6.0
195,98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,
196,99,2011-01-05,1,0,1,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,7.0
197,99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,
198,100,2011-01-05,1,0,1,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,8.0
199,100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,
200,101,2011-01-05,1,0,1,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,9.0
201,101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,
202,102,2011-01-05,1,0,1,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,10.0
203,102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,
204,103,2011-01-05,1,0,1,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,11.0
205,103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,
206,104,2011-01-05,1,0,1,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,12.0
207,104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,
208,105,2011-01-05,1,0,1,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,13.0
209,105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,
210,106,2011-01-05,1,0,1,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,14.0
211,106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,
212,107,2011-01-05,1,0,1,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,15.0
213,107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,
214,108,2011-01-05,1,0,1,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,16.0
215,108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,
216,109,2011-01-05,1,0,1,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,17.0
217,109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,
218,110,2011-01-05,1,0,1,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,18.0
219,110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,
220,111,2011-01-05,1,0,1,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,19.0
221,111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,
222,112,2011-01-05,1,0,1,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,20.0
223,112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,
224,113,2011-01-05,1,0,1,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,21.0
225,113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,
226,114,2011-01-05,1,0,1,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,22.0
227,114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,
228,115,2011-01-05,1,0,1,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,23.0
229,115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,
230,116,2011-01-06,1,0,1,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,0.0
231,116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,
232,117,2011-01-06,1,0,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,1.0
233,117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,
234,118,2011-01-06,1,0,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,2.0
235,118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,
236,119,2011-01-06,1,0,1,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,4.0
237,119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,
238,120,2011-01-06,1,0,1,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,5.0
239,120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,
240,121,2011-01-06,1,0,1,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,6.0
241,121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,
242,122,2011-01-06,1,0,1,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,7.0
243,122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,
244,123,2011-01-06,1,0,1,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,8.0
245,123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,
246,124,2011-01-06,1,0,1,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,9.0
247,124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,
248,125,2011-01-06,1,0,1,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,10.0
249,125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,
250,126,2011-01-06,1,0,1,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,11.0
251,126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,
252,127,2011-01-06,1,0,1,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,12.0
253,127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,
254,128,2011-01-06,1,0,1,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,13.0
255,128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,
256,129,2011-01-06,1,0,1,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,14.0
257,129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,
258,130,2011-01-06,1,0,1,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,15.0
259,130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,
260,131,2011-01-06,1,0,1,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,16.0
